Date,Temp. Max (°C),Temp. Min (°C),Temp. Average (°C),Temp. Normal (°C),Accumulated precipitation in mm (measured at 7am for the past 24 hours),Precipitation type,Snow depth (cm),Wind Max (m/s),Wind Average (m/s)
11/08/2016,18.4,7.3,12.7,15.9,1.2,---,0,5.2,2.5
10/08/2016,17.4,7.6,10.9,15.9,26.1,---,0,9,4.2
9/08/2016,18.8,10.7,13.3,16,14.3,---,0,7.5,3.6
8/08/2016,18.1,13.2,14.7,16.1,7.2,---,0,8.4,5
7/08/2016,18.4,13.6,15.5,16.1,16.8,---,0,5.8,2.7
6/08/2016,18.5,14,16,16.2,12.4,---,0,6.5,2.3
5/08/2016,21.9,14.6,16.7,16.2,12.4,---,0,5.8,1.7
4/08/2016,20.8,12.6,15.5,16.3,14.8,---,0,5.6,2.6
3/08/2016,20.9,10,15.3,16.3,0.2,---,0,6.9,2.9
2/08/2016,21.7,10.6,15.9,16.3,0.1,---,0,6.2,2.1
1/08/2016,21,9.1,15.2,16.4,0,---,0,5.3,2.1
31/07/2016,21.4,9.2,15.8,16.4,3.6,---,0,6.9,3
30/07/2016,22.2,13.4,16.6,16.4,13.8,---,0,6.2,2.1
29/07/2016,20.2,14.5,16.5,16.4,0,---,0,5.7,2.3
28/07/2016,22.6,14.1,18.1,16.4,11.8,---,0,6.7,3.5
27/07/2016,21.1,12,16.3,16.5,0.2,---,0,6.8,3
26/07/2016,21.1,16.2,18.1,16.5,6,---,0,7.1,3.4
25/07/2016,26,16.1,19.3,16.5,0,---,0,6.4,2.2
24/07/2016,26.3,15,20.5,16.5,0,---,0,5.2,2.4
23/07/2016,23.8,16.1,20.1,16.5,0,---,0,3.2,1.7
22/07/2016,26.8,17.1,21.3,16.5,0,---,0,4.2,1.9
21/07/2016,27.8,15.2,21.8,16.5,0,---,0,4.5,2.2
20/07/2016,26.2,13.3,20,16.5,0.3,---,0,3.8,1.9
19/07/2016,20.9,11.2,16.6,16.5,0.1,---,0,4.9,2.2
18/07/2016,22,9.2,16.4,16.5,0.1,---,0,4.8,1.6
17/07/2016,20.2,8.4,14.9,16.5,0.3,---,0,6,2.9
16/07/2016,22.1,15.2,17.8,16.4,0.2,---,0,7.7,4
15/07/2016,24.3,14.7,19.1,16.4,5,---,---,4.3,2.6
14/07/2016,21.4,14.3,17.2,16.4,10.9,---,0,3.4,1.2
13/07/2016,20.7,13,16.2,16.4,2.9,---,0,2.9,1.4
12/07/2016,23,14.4,16.5,16.4,5.8,---,0,5,1.9
11/07/2016,21.7,14.3,16.7,16.4,0.2,---,0,5.4,2.5
10/07/2016,21.8,12.8,17.2,16.4,0,---,0,5.5,3
9/07/2016,23.4,13.4,17.9,16.4,0,---,0,5,2.2
8/07/2016,23.8,13.9,18,16.4,0.2,---,0,5.3,2.3
7/07/2016,21.2,11.4,16.3,16.3,0.4,---,0,5.3,2.6
6/07/2016,22.2,11.2,16.6,16.3,3.1,---,0,6.3,2.6
5/07/2016,21.4,10,14.8,16.3,0.1,---,0,4.7,1.9
4/07/2016,21.6,9.1,15.2,16.3,0.8,---,0,5.4,2.5
3/07/2016,19.3,9.2,13.6,16.2,8.1,---,0,6.3,3
2/07/2016,17.3,11.8,13.5,16.2,5.9,---,0,7.4,3
1/07/2016,16.5,11.8,13.7,16.2,5.5,---,0,6,3.2
